loan_status,loan_amnt,int_rate,grade,emp_length,home_ownership,annual_inc,age,emp_cat,ir_cat
0,14125,9.91,B,1,RENT,33000,25,0-15,11-Aug
0,14000,12.69,B,5,RENT,62800,24,0-15,11-13.5
0,4000,19.03,E,19,MORTGAGE,80000,25,15-30,13.5+
1,4000,12.69,B,2,RENT,25000,22,0-15,11-13.5
0,10500,6.03,A,12,MORTGAGE,65000,23,0-15,0-8
0,5500,7.9,A,23,OWN,59000,34,15-30,0-8
0,7350,11.71,B,1,RENT,33000,24,0-15,11-13.5
1,10000,12.42,B,10,RENT,39000,22,0-15,11-13.5
0,12000,7.51,A,13,RENT,42000,32,0-15,0-8
0,4500,8.9,A,20,MORTGAGE,50700,24,15-30,11-Aug
0,18000,12.42,B,1,OWN,75000,29,0-15,11-13.5
0,12000,13.49,C,6,RENT,40000,24,0-15,11-13.5
0,10000,13.49,C,10,MORTGAGE,50000,25,0-15,11-13.5
0,6000,7.9,A,7,MORTGAGE,80000,25,0-15,0-8
0,12000,12.69,B,4,RENT,40000,27,0-15,11-13.5
1,12000,8.9,A,7,RENT,80000,30,0-15,11-Aug
0,7000,11.71,B,2,RENT,75000,29,0-15,11-13.5
0,1400,7.9,A,1,RENT,28800,29,0-15,0-8
0,3200,9.91,B,9,RENT,61200,26,0-15,11-Aug
0,8000,7.9,A,1,RENT,40000,22,0-15,0-8
0,5000,6.03,A,9,MORTGAGE,54000,22,0-15,0-8
0,1800,6.62,A,16,RENT,18000,21,15-30,0-8
0,35000,8.9,A,5,RENT,85000,37,0-15,11-Aug
0,18000,8.9,A,5,RENT,78000,34,0-15,11-Aug
1,14000,7.9,A,11,OWN,45600,23,0-15,0-8
0,5000,12.42,B,2,RENT,70000,38,0-15,11-13.5
0,8000,15.96,C,4,RENT,70000,25,0-15,13.5+
0,10000,NA,A,9,MORTGAGE,80000,24,0-15,Missing
0,10000,7.51,A,5,RENT,50000,23,0-15,0-8
0,12000,12.42,B,10,MORTGAGE,35000,23,0-15,11-13.5
0,23200,7.9,A,3,MORTGAGE,65000,31,0-15,0-8
0,4800,15.27,C,29,MORTGAGE,75000,25,15-30,13.5+
0,7300,11.71,B,6,RENT,35000,29,0-15,11-13.5
0,10400,9.91,B,6,RENT,40000,25,0-15,11-Aug
0,6600,9.91,B,1,MORTGAGE,1.00E+05,24,0-15,11-Aug
0,12000,8.9,A,7,OWN,40000,21,0-15,11-Aug
0,13250,17.27,D,11,RENT,52000,29,0-15,13.5+
0,12000,11.71,B,3,RENT,92500,26,0-15,11-13.5
0,25000,9.91,B,9,RENT,61000,28,0-15,11-Aug
0,6000,NA,B,16,RENT,36000,25,15-30,Missing
0,12000,7.51,A,18,MORTGAGE,68000,23,15-30,0-8
0,14400,11.71,B,1,RENT,80000,22,0-15,11-13.5
0,10000,12.42,B,15,RENT,43000,27,0-15,11-13.5
0,8000,11.71,B,1,RENT,150000,28,0-15,11-13.5
1,8000,16.29,D,5,RENT,50000,21,0-15,13.5+
0,13250,11.71,B,2,OWN,35000,37,0-15,11-13.5
0,14000,14.27,C,6,RENT,80000,34,0-15,13.5+
0,10000,16.29,D,15,RENT,40000,38,0-15,13.5+
0,4000,6.03,A,1,RENT,55000,45,0-15,0-8
0,13000,9.91,B,6,RENT,110000,40,0-15,11-Aug
0,28000,12.69,B,5,RENT,1.00E+05,25,0-15,11-13.5
0,10000,13.49,C,3,RENT,62000,23,0-15,11-13.5
0,20000,7.9,A,0,RENT,45000,22,0-15,0-8
0,18000,9.91,B,5,RENT,110000,27,0-15,11-Aug
0,10000,11.71,B,3,RENT,33000,26,0-15,11-13.5
0,4200,6.03,A,3,RENT,61000,23,0-15,0-8
0,24000,16.29,D,2,RENT,50964,21,0-15,13.5+
0,4475,15.27,C,3,RENT,43680,28,0-15,13.5+
0,12000,12.42,B,5,RENT,50700,29,0-15,11-13.5
1,5000,12.42,B,2,RENT,30000,26,0-15,11-13.5
0,3000,6.03,A,5,RENT,50000,25,0-15,0-8
1,12000,9.91,B,17,RENT,55000,45,15-30,11-Aug
0,20000,15.27,C,13,MORTGAGE,50000,25,0-15,13.5+
0,10000,NA,C,3,RENT,84000,25,0-15,Missing
0,15000,12.42,B,6,OWN,155000,32,0-15,11-13.5
0,12000,7.9,A,0,MORTGAGE,62000,26,0-15,0-8
0,6300,11.71,B,2,RENT,30000,21,0-15,11-13.5
1,10000,11.71,B,5,RENT,32000,42,0-15,11-13.5
1,24000,8.9,A,17,MORTGAGE,116400,32,15-30,11-Aug
0,14400,12.69,B,9,MORTGAGE,40000,22,0-15,11-13.5
0,6000,14.65,C,7,RENT,34000,32,0-15,13.5+
0,22000,15.96,C,5,MORTGAGE,73000,22,0-15,13.5+
1,12000,NA,B,17,RENT,57200,28,15-30,Missing
0,16000,16.77,D,0,MORTGAGE,114000,33,0-15,13.5+
0,10000,10.65,B,14,MORTGAGE,90000,29,0-15,11-Aug
1,10000,12.69,B,2,RENT,35000,27,0-15,11-13.5
0,3500,NA,C,7,RENT,56000,23,0-15,Missing
0,9600,9.91,B,5,RENT,35000,25,0-15,11-Aug
0,9875,7.9,A,15,MORTGAGE,40000,22,0-15,0-8
0,4800,7.9,A,6,RENT,48000,23,0-15,0-8
0,7800,6.03,A,12,OWN,85000,30,0-15,0-8
0,20000,14.27,C,11,MORTGAGE,70000,26,0-15,13.5+
1,9750,7.51,A,4,RENT,35000,27,0-15,0-8
0,5000,6.03,A,9,MORTGAGE,30000,25,0-15,0-8
0,9000,14.65,C,4,RENT,45000,28,0-15,13.5+
0,7200,7.9,A,1,RENT,55000,25,0-15,0-8
0,25000,15.27,C,8,OWN,82000,24,0-15,13.5+
0,10000,15.96,C,13,RENT,53000,33,0-15,13.5+
1,8875,12.69,B,5,MORTGAGE,35360,25,0-15,11-13.5
0,15550,11.71,B,13,RENT,54000,23,0-15,11-13.5
0,7500,12.69,B,5,RENT,65000,29,0-15,11-13.5
0,8875,8.9,A,6,OWN,28800,22,0-15,11-Aug
0,4500,17.27,D,1,RENT,42000,21,0-15,13.5+
0,5800,12.42,B,3,RENT,36000,27,0-15,11-13.5
0,10000,11.71,B,2,RENT,40000,21,0-15,11-13.5
0,10000,9.91,B,4,RENT,50000,35,0-15,11-Aug
0,14000,11.71,B,1,RENT,52000,39,0-15,11-13.5
1,12000,NA,A,3,RENT,32000,29,0-15,Missing
0,24000,7.9,A,6,OWN,75000,23,0-15,0-8
0,14000,14.27,C,0,RENT,80000,23,0-15,13.5+
0,12000,8.9,A,7,MORTGAGE,40246,38,0-15,11-Aug
1,8050,12.69,B,1,RENT,36000,22,0-15,11-13.5
0,5600,10.65,B,6,RENT,60000,22,0-15,11-Aug
0,7500,9.91,B,3,RENT,31200,22,0-15,11-Aug
0,7000,11.71,B,15,RENT,90000,35,0-15,11-13.5
0,5400,7.9,A,4,RENT,40000,29,0-15,0-8
0,16000,12.42,B,1,RENT,90000,27,0-15,11-13.5
0,9800,16.29,D,4,RENT,67000,39,0-15,13.5+
0,5000,6.62,A,1,RENT,276000,28,0-15,0-8
0,9900,11.71,B,6,RENT,26400,22,0-15,11-13.5
0,4000,11.71,B,NA,RENT,24000,25,Missing,11-13.5
0,15000,11.71,B,3,MORTGAGE,68400,31,0-15,11-13.5
0,6250,15.96,C,1,RENT,29120,25,0-15,13.5+
0,6400,16.29,D,0,RENT,29120,25,0-15,13.5+
0,12000,15.27,C,4,MORTGAGE,54000,32,0-15,13.5+
0,15000,NA,A,5,MORTGAGE,30000,28,0-15,Missing
0,6500,14.27,C,4,MORTGAGE,30000,25,0-15,13.5+
0,8000,15.96,C,16,RENT,50000,24,15-30,13.5+
0,15000,14.65,C,11,MORTGAGE,100500,27,0-15,13.5+
0,10200,NA,C,3,RENT,40000,26,0-15,Missing
0,9000,12.42,B,5,MORTGAGE,47000,28,0-15,11-13.5
0,6500,16.29,D,3,MORTGAGE,68000,25,0-15,13.5+
0,2000,7.9,A,4,RENT,39600,27,0-15,0-8
0,8000,13.49,C,3,OWN,30000,22,0-15,11-13.5
0,8875,7.51,A,1,RENT,30000,25,0-15,0-8
1,1500,18.64,E,0,RENT,17000,21,0-15,13.5+
0,8000,12.42,B,3,RENT,42000,31,0-15,11-13.5
0,6500,11.71,B,4,RENT,42000,20,0-15,11-13.5
0,9600,13.49,C,3,MORTGAGE,27000,21,0-15,11-13.5
0,10000,7.9,A,5,MORTGAGE,46000,40,0-15,0-8
0,15000,12.42,B,17,MORTGAGE,80000,23,15-30,11-13.5
0,9000,6.62,A,3,MORTGAGE,45000,25,0-15,0-8
0,10000,7.9,A,2,RENT,72500,36,0-15,0-8
1,1000,14.65,C,NA,RENT,18408,51,Missing,13.5+
0,14000,7.9,A,2,RENT,30000,24,0-15,0-8
1,8500,14.27,C,9,RENT,50000,25,0-15,13.5+
0,4500,15.96,C,5,MORTGAGE,65000,28,0-15,13.5+
0,3000,7.51,A,18,MORTGAGE,65000,27,15-30,0-8
0,10000,9.91,B,4,MORTGAGE,120000,25,0-15,11-Aug
0,7200,15.27,C,4,RENT,54990,25,0-15,13.5+
0,23000,7.9,A,2,MORTGAGE,137000,50,0-15,0-8
0,7000,8.9,A,1,RENT,46000,34,0-15,11-Aug
0,21000,12.69,B,8,MORTGAGE,135000,24,0-15,11-13.5
0,8250,7.51,A,NA,MORTGAGE,31500,25,Missing,0-8
0,13000,NA,B,13,RENT,65000,31,0-15,Missing
0,18000,6.62,A,2,MORTGAGE,78000,29,0-15,0-8
0,7200,6.03,A,5,MORTGAGE,60000,31,0-15,0-8
0,16500,8.9,A,11,RENT,48000,22,0-15,11-Aug
0,8125,7.9,A,0,RENT,25000,21,0-15,0-8
0,18800,7.51,A,3,MORTGAGE,82000,35,0-15,0-8
0,26800,NA,E,13,MORTGAGE,82000,42,0-15,Missing
0,19200,7.9,A,5,MORTGAGE,42000,24,0-15,0-8
0,4000,12.42,B,5,MORTGAGE,38000,23,0-15,11-13.5
0,4000,16.29,D,4,RENT,35000,25,0-15,13.5+
0,12000,9.91,B,13,OWN,33000,22,0-15,11-Aug
0,2625,11.71,B,11,MORTGAGE,52800,23,0-15,11-13.5
0,7000,9.91,B,17,RENT,73882,39,15-30,11-Aug
0,11300,12.69,B,7,MORTGAGE,36000,23,0-15,11-13.5
0,4000,NA,B,19,MORTGAGE,130000,30,15-30,Missing
0,8000,6.03,A,24,MORTGAGE,57200,21,15-30,0-8
1,14400,NA,D,5,RENT,51871,24,0-15,Missing
0,4375,12.42,B,2,OWN,15000,28,0-15,11-13.5
0,4100,7.51,A,9,MORTGAGE,70197,32,0-15,0-8
0,6000,8.9,A,7,RENT,47000,24,0-15,11-Aug
0,4000,NA,A,6,MORTGAGE,120000,44,0-15,Missing
1,3000,10.65,B,13,MORTGAGE,86004,25,0-15,11-Aug
0,5400,12.69,B,12,MORTGAGE,75000,23,0-15,11-13.5
1,15000,16.29,D,1,RENT,110000,60,0-15,13.5+
0,10400,12.69,B,4,RENT,44000,24,0-15,11-13.5
0,11500,12.42,B,0,RENT,38500,27,0-15,11-13.5
0,10000,6.62,A,4,RENT,75000,24,0-15,0-8
0,3600,8.9,A,11,RENT,55000,25,0-15,11-Aug
1,10000,17.27,D,8,RENT,68000,32,0-15,13.5+
0,15000,18.25,D,17,MORTGAGE,66000,24,15-30,13.5+
0,8000,11.71,B,8,RENT,85000,28,0-15,11-13.5
1,16000,7.9,A,1,RENT,51000,51,0-15,0-8
0,8000,10.65,B,2,RENT,55000,23,0-15,11-Aug
0,7200,7.51,A,19,MORTGAGE,47000,41,15-30,0-8
0,12000,7.51,A,4,RENT,86000,27,0-15,0-8
1,2200,15.27,C,11,OWN,48000,24,0-15,13.5+
0,6000,7.51,A,2,MORTGAGE,50000,24,0-15,0-8
0,14400,NA,C,2,RENT,42996,22,0-15,Missing
0,14050,8.9,A,3,MORTGAGE,120000,33,0-15,11-Aug
0,6000,13.49,C,17,OWN,62691,38,15-30,11-13.5
0,10525,7.9,A,4,RENT,49668,29,0-15,0-8
0,7200,15.96,C,2,RENT,30000,31,0-15,13.5+
0,12000,13.49,C,14,MORTGAGE,40000,26,0-15,11-13.5
0,12000,NA,B,5,MORTGAGE,1.00E+05,39,0-15,Missing
0,3000,11.71,B,2,RENT,56312,33,0-15,11-13.5
0,9500,16.29,D,10,RENT,54011,26,0-15,13.5+
0,19775,12.42,B,2,RENT,49110.32,30,0-15,11-13.5
0,30000,12.42,B,2,RENT,80000,29,0-15,11-13.5
0,16000,NA,B,9,MORTGAGE,55000,30,0-15,Missing
0,14500,14.65,C,8,RENT,90000,33,0-15,13.5+
0,4150,10.65,B,4,RENT,1.00E+05,23,0-15,11-Aug
0,24000,16.77,D,6,RENT,70000,53,0-15,13.5+
1,21250,12.42,B,5,RENT,37000,22,0-15,11-13.5
0,10000,14.27,C,34,OWN,75000,30,30-45,13.5+
0,4000,15.96,C,6,RENT,39000,30,0-15,13.5+
0,15000,11.71,B,0,RENT,60000,22,0-15,11-13.5
0,3600,15.96,C,3,RENT,40000,23,0-15,13.5+
1,15000,15.27,C,11,RENT,60000,23,0-15,13.5+
0,12375,7.51,A,6,RENT,42000,26,0-15,0-8
1,4000,12.69,B,6,RENT,30000,27,0-15,11-13.5
0,13000,10.65,B,16,MORTGAGE,50000,22,15-30,11-Aug
0,5000,6.62,A,1,MORTGAGE,39396,22,0-15,0-8
0,5000,15.96,C,7,OWN,98000,31,0-15,13.5+
0,26000,11.71,B,16,RENT,62500,23,15-30,11-13.5
0,8000,7.9,A,21,RENT,32400,22,15-30,0-8
1,1700,NA,A,NA,MORTGAGE,37800,34,Missing,Missing
0,16000,9.91,B,11,RENT,50000,35,0-15,11-Aug
1,12000,14.65,C,6,RENT,54400,22,0-15,13.5+
0,7000,NA,B,7,MORTGAGE,72800,27,0-15,Missing
1,13000,16.29,D,14,RENT,28000,26,0-15,13.5+
0,18000,13.49,C,8,MORTGAGE,96000,30,0-15,11-13.5
0,10000,16.29,D,3,RENT,83200,22,0-15,13.5+
1,11200,12.42,B,3,RENT,75000,30,0-15,11-13.5
0,7000,10.65,B,3,RENT,52000,23,0-15,11-Aug
0,8000,6.03,A,6,RENT,57600,41,0-15,0-8
0,12000,17.27,D,2,RENT,95000,23,0-15,13.5+
0,22000,14.65,C,0,RENT,58000,25,0-15,13.5+
0,6200,10.65,B,18,MORTGAGE,24000,36,15-30,11-Aug
0,15900,NA,B,9,MORTGAGE,58000,29,0-15,Missing
0,5000,NA,A,NA,MORTGAGE,70000,26,Missing,Missing
0,16000,NA,A,3,MORTGAGE,104000,33,0-15,Missing
0,5000,11.71,B,4,RENT,35000,24,0-15,11-13.5
0,3150,15.27,C,5,RENT,53000,36,0-15,13.5+
1,12000,14.27,C,2,RENT,28000,23,0-15,13.5+
1,28000,7.9,A,4,MORTGAGE,118000,24,0-15,0-8
0,5000,12.42,B,0,RENT,40000,23,0-15,11-13.5
0,3000,9.91,B,NA,MORTGAGE,42000,25,Missing,11-Aug
1,3000,7.9,A,11,MORTGAGE,65000,27,0-15,0-8
0,8400,6.62,A,2,RENT,25000,22,0-15,0-8
0,7000,10.65,B,14,MORTGAGE,36000,30,0-15,11-Aug
0,2000,9.91,B,1,MORTGAGE,231252,27,0-15,11-Aug
1,8575,17.58,D,NA,MORTGAGE,32000,28,Missing,13.5+
0,10000,7.9,A,6,RENT,66000,27,0-15,0-8
0,25000,19.42,E,2,MORTGAGE,92000,29,0-15,13.5+
0,8000,11.71,B,13,RENT,70000,24,0-15,11-13.5
